AP_ICAO,AP_Name,AP_IATA,AP_Country,AP_LatLong,AP_Municipality,AP_Type,AP_AltitudeFt,AP_RunwayLenM,AP_Passengers,AP_MoreInfoLink,AP_URLHome
KATL,Hartsfield-Jackson Atlanta International Airport,ATL,US,"N333812,W0842541",Atlanta,L,1026,3776,107394029,https://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport,http://atlanta-airport.com/
ZBAA,Beijing Capital International Airport,PEK,CN,"N400448,E1163502",Beijing,L,116,3810,100983290,https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,http://en.bcia.com.cn/
OMDB,Dubai International Airport,DXB,AE,"N251510,E0552152",Dubai,L,62,4000,89149387,https://en.wikipedia.org/wiki/Dubai_International_Airport,http://www.dubaiairport.com/
KLAX,Los Angeles International Airport,LAX,US,"N335633,W1182429",Los Angeles,L,128,3939,87534384,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,http://www.lawa.org/welcomeLAX.aspx
RJTT,Haneda Airport,HND,JP,"N353312,E1394652",Tokyo,L,21,3360,87131973,https://en.wikipedia.org/wiki/Haneda_Airport,http://www.tokyo-airport-bldg.co.jp/en/
KORD,O'Hare International Airport,ORD,US,"N415843,W0875417",Chicago,L,668,3962,83339186,https://en.wikipedia.org/wiki/O%27Hare_International_Airport,http://www.flychicago.com/ohare/en/home/Pages/default.aspx
EGLL,Heathrow Airport,LHR,GB,"N512839,W0002741",London,L,83,3902,80126320,https://en.wikipedia.org/wiki/Heathrow_Airport,http://www.heathrowairport.com
VHHH,Hong Kong International Airport,HKG,HK,"N221832,E1135450",Hong Kong,L,28,3800,74517402,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,http://www.hongkongairport.com
ZSPD,Shanghai Pudong International Airport,PVG,CN,"N310836,E1214818",Shanghai,L,13,4000,74006331,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,NULL
LFPG,Charles de Gaulle Airport,CDG,FR,"N490035,E0023252",Paris,L,392,4215,72229723,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport,http://www.aeroportsdeparis.fr/en/homepage
